node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id,mode
334,1969,202,43.455307000000005,-80.54570849999999,510,bus
335,4056,202,43.45264525,-80.55362275,513,bus
336,3687,202,43.448184499999996,-80.56585799999999,522,bus
337,3906,202,43.4457625,-80.57060849999999,1146,bus
338,3904,202,43.442391,-80.56573399999999,1145,bus
339,2390,55,43.348898,-80.3414275,688,bus
340,2391,55,43.346379,-80.3395855,687,bus
341,2392,55,43.3430295,-80.337788,686,bus
342,2254,55,43.3416835,-80.33605800000001,628,bus
343,2255,55,43.340719,-80.333917,629,bus
344,2256,55,43.338822,-80.332322,630,bus
345,2257,55,43.3366195,-80.3302165,631,bus
346,2641,55,43.3375615,-80.3217305,661,bus
347,2642,55,43.341454,-80.3215005,660,bus
348,2643,55,43.3447685,-80.321627,659,bus
349,2644,55,43.3461505,-80.3217145,658,bus
350,2155,55,43.346861000000004,-80.319744,579,bus
351,2156,55,43.3484225,-80.31807950000001,578,bus
352,2157,55,43.3509285,-80.3170145,577,bus
353,2158,55,43.35315925,-80.31759774999999,483,bus
354,2159,55,43.3547115,-80.313784,297,bus
355,1520,55,43.35736175,-80.31318933333334,296,bus
356,2186,55,43.359043,-80.315079,604,bus
357,2245,55,43.35877933333333,-80.317657,605,bus
358,2246,55,43.3565675,-80.317757,619,bus
359,3261,55,43.3548005,-80.3217785,618,bus
360,3262,55,43.35476250000001,-80.325221,617,bus
361,3263,55,43.354769,-80.327038,616,bus
362,2139,55,43.3538995,-80.33228299999999,582,bus
363,2140,55,43.356114,-80.332943,583,bus
364,2141,55,43.3565025,-80.3367045,584,bus
365,2142,55,43.3567025,-80.33923200000001,585,bus
366,2143,55,43.3553425,-80.341685,586,bus
367,2144,55,43.3530425,-80.340931,587,bus
368,2145,55,43.352288,-80.340919,588,bus
369,1523,55,43.3547115,-80.313784,297,bus
370,1938,55,43.35315925,-80.31759774999999,483,bus
371,2127,55,43.3509285,-80.3170145,577,bus
372,2128,55,43.3484225,-80.31807950000001,578,bus
373,2129,55,43.346861000000004,-80.319744,579,bus
374,2321,55,43.3461505,-80.3217145,658,bus
375,2322,55,43.3447685,-80.321627,659,bus
376,2323,55,43.341454,-80.3215005,660,bus
377,2324,55,43.3375615,-80.3217305,661,bus
378,2325,55,43.3366195,-80.3302165,631,bus
379,2326,55,43.338822,-80.332322,630,bus
380,2374,55,43.340719,-80.333917,629,bus
381,2375,55,43.3416835,-80.33605800000001,628,bus
382,2376,55,43.3430295,-80.337788,686,bus
383,2377,55,43.346379,-80.3395855,687,bus
384,2378,55,43.348898,-80.3414275,688,bus
385,3077,55,43.3530425,-80.340931,587,bus
386,3078,55,43.353999,-80.341048,895,bus
387,3079,55,43.3553425,-80.341685,586,bus
388,3080,55,43.3567025,-80.33923200000001,585,bus
389,3081,55,43.3565025,-80.3367045,584,bus
390,3082,55,43.356893,-80.333686,896,bus
391,2206,55,43.3538995,-80.33228299999999,582,bus
392,2207,55,43.353894,-80.330524,615,bus
393,2208,55,43.354769,-80.327038,616,bus
394,2209,55,43.35476250000001,-80.325221,617,bus
395,2210,55,43.3548005,-80.3217785,618,bus
396,2211,55,43.3565675,-80.317757,619,bus
397,2268,55,43.35877933333333,-80.317657,605,bus
398,2212,55,43.358825,-80.31328,620,bus
399,6101,302,43.35736175,-80.31318933333334,296,bus
400,6102,302,43.372868999999994,-80.31813399999999,323,bus
401,6103,302,43.386531,-80.321013,1255,bus
402,6104,302,43.392727666666666,-80.32265616666666,36,bus
