origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
40536,13136,54.17150000000001,38.9585,38.9585
40903,13027,48.67699999999999,38.9552,38.9552
40521,12523,51.58760000000001,38.9486,38.9486
40906,12718,46.16569999999999,38.93869999999999,38.93869999999999
40526,13011,53.71940000000001,38.9354,38.9354
40536,13002,54.3926,38.9288,38.9288
13009,40526,41.6711,38.92550000000001,38.92550000000001
13011,40406,,38.9189,38.9189
12904,21626,,38.918899999999994,38.918899999999994
13010,40705,,38.91230000000001,38.91230000000001
40405,13010,49.03340000000001,38.9123,38.9123
40422,13011,64.59620000000001,38.9057,38.9057
12715,40424,39.5294,38.9057,38.9057
40903,12735,48.4064,38.90239999999999,38.90239999999999
13008,40908,40.4996,38.8925,38.8925
40514,12715,52.35979999999999,38.8892,38.8892
40511,12715,52.35979999999999,38.8892,38.8892
12634,40436,,38.87930000000001,38.87930000000001
13005,40521,,38.8727,38.8727
40434,12612,,38.872699999999995,38.872699999999995
40737,13027,46.16569999999999,38.8661,38.8661
13011,21610,,38.85950000000001,38.85950000000001
40755,13008,,38.8595,38.8595
40434,12645,,38.8496,38.8496
12715,40513,41.1992,38.8463,38.8463
40906,13002,46.49569999999999,38.84629999999999,38.84629999999999
13009,40514,41.5787,38.83310000000001,38.83310000000001
12701,40528,56.197700000000005,38.8199,38.8199
40434,12727,,38.81989999999999,38.81989999999999
40737,12735,45.89509999999999,38.81329999999999,38.81329999999999
40411,13138,61.74170000000001,38.81,38.81
13006,40535,61.3688,38.81,38.81
13009,40508,41.5391,38.79350000000001,38.79350000000001
40906,12503,,38.79019999999999,38.79019999999999
21242,13136,44.2682,38.78360000000001,38.78360000000001
40508,13138,55.3826,38.7836,38.7836
13023,40521,,38.7704,38.7704
21208,12707,44.3408,38.7605,38.7605
40716,13009,50.195,38.757200000000005,38.757200000000005
12718,40528,59.4581,38.750600000000006,38.750600000000006
40438,12629,,38.75059999999999,38.75059999999999
12701,40424,50.7329,38.7374,38.7374
40535,12904,,38.7308,38.7308
40526,13006,53.3894,38.727499999999985,38.727499999999985
13138,40535,56.7488,38.7242,38.7242
13011,40405,,38.7209,38.7209
40513,13010,56.0327,38.7176,38.7176
12638,40521,,38.7143,38.7143
40749,13138,,38.7011,38.7011
40536,12707,53.9141,38.7011,38.7011
40422,13006,64.2662,38.69779999999998,38.69779999999998
13011,40411,,38.6846,38.6846
40903,12612,,38.6846,38.6846
13011,40438,,38.68130000000001,38.68130000000001
12636,40436,,38.678,38.678
12718,40424,51.5843,38.6681,38.6681
40903,12645,47.40650000000001,38.6615,38.6615
13008,21626,49.49539999999999,38.6582,38.6582
40909,12522,,38.65489999999999,38.65489999999999
12707,40521,,38.6516,38.6516
21225,12710,46.49569999999999,38.645,38.645
40435,12710,51.77239999999999,38.6384,38.6384
40405,13136,48.4823,38.631800000000005,38.631800000000005
21208,13011,44.4893,38.631800000000005,38.631800000000005
40903,12727,48.0764,38.6318,38.6318
12628,40528,55.03939999999999,38.62190000000001,38.62190000000001
13009,40511,41.8691,38.6186,38.6186
40906,13027,45.83569999999999,38.618599999999994,38.618599999999994
40405,13002,48.70340000000001,38.6021,38.6021
40755,12904,,38.5988,38.5988
12710,40526,41.34109999999999,38.59550000000001,38.59550000000001
40737,12612,,38.59549999999999,38.59549999999999
40411,12715,58.38890000000001,38.58560000000001,38.58560000000001
13010,21228,,38.5823,38.5823
40528,13008,,38.5757,38.5757
40536,13011,54.0626,38.5724,38.5724
