geometry_id,geometry
222,"LINESTRING (537659.1730135713 4814570.039576336, 537416.1944490878 4814854.890081525)"
223,"LINESTRING (537416.1944490878 4814854.890081525, 537243.1885540076 4814860.927675397)"
224,"LINESTRING (537243.1885540076 4814860.927675397, 537083.2205452317 4815127.924631798)"
225,"LINESTRING (537083.2205452317 4815127.924631798, 537261.1771712027 4815394.899410203)"
226,"LINESTRING (537261.1771712027 4815394.899410203, 537384.2070849213 4815561.95168744)"
227,"LINESTRING (537384.2070849213 4815561.95168744, 536847.0195957718 4815657.170578602)"
228,"LINESTRING (536847.0195957718 4815657.170578602, 536828.8284869285 4815878.527529069)"
229,"LINESTRING (536828.8284869285 4815878.527529069, 536719.9396790223 4816096.945748489)"
230,"LINESTRING (536719.9396790223 4816096.945748489, 536641.5042537565 4816262.110896587)"
231,"LINESTRING (536641.5042537565 4816262.110896587, 536425.1343727891 4816250.4964652015)"
232,"LINESTRING (536425.1343727891 4816250.4964652015, 536268.5823665742 4816330.725739519)"
233,"LINESTRING (536268.5823665742 4816330.725739519, 536180.5895773942 4816546.821862781)"
234,"LINESTRING (536180.5895773942 4816546.821862781, 536433.1264786564 4816670.796402039)"
235,"LINESTRING (536433.1264786564 4816670.796402039, 536802.9437608526 4816856.282808814)"
236,"LINESTRING (536802.9437608526 4816856.282808814, 536953.5018546953 4816585.784478128)"
237,"LINESTRING (536953.5018546953 4816585.784478128, 536936.4334750698 4816293.043498485)"
238,"LINESTRING (545000.7261099325 4810820.9801896345, 544939.7210596956 4811094.903767912)"
239,"LINESTRING (544939.7210596956 4811094.903767912, 544741.7215641082 4811497.964446791)"
240,"LINESTRING (544741.7215641082 4811497.964446791, 544635.7151074145 4811805.903810005)"
241,"LINESTRING (544635.7151074145 4811805.903810005, 545110.6707466888 4812088.94401963)"
242,"LINESTRING (545110.6707466888 4812088.94401963, 544859.2359067459 4812246.084795582)"
243,"LINESTRING (544859.2359067459 4812246.084795582, 544869.6709687932 4812549.910320196)"
244,"LINESTRING (544869.6709687932 4812549.910320196, 544782.7006505358 4812684.939049399)"
245,"LINESTRING (544782.7006505358 4812684.939049399, 544623.7330437202 4812930.887342901)"
246,"LINESTRING (544623.7330437202 4812930.887342901, 544478.9459082738 4813029.993857492)"
247,"LINESTRING (544478.9459082738 4813029.993857492, 544124.6840645957 4812861.96211753)"
248,"LINESTRING (544124.6840645957 4812861.96211753, 543846.081183538 4812741.8583514)"
249,"LINESTRING (543846.081183538 4812741.8583514, 543326.826390825 4812528.591282045)"
250,"LINESTRING (543326.826390825 4812528.591282045, 542919.0146071776 4812338.73354866)"
251,"LINESTRING (542919.0146071776 4812338.73354866, 542606.4428078571 4811888.392523624)"
252,"LINESTRING (542606.4428078571 4811888.392523624, 542342.6795182623 4811646.947441764)"
253,"LINESTRING (542342.6795182623 4811646.947441764, 542078.6883684144 4811451.935410573)"
